,SurahNo,AyahNo,EnglishTranslation,Tafseer
3876,37,89,"And he said, ""I am indeed sick (at heart)!""","b'49. This is one of those three things concerning which it is said that the Prophet Abraham had told three lies in his life, whereas it should be ascertained before declaring it a lie, or anything contrary to fact, whether the Prophet Abraham at that time was not suffering from any illness, and therefore, he had made this excuse only as a pretense. If there is no proof, there is no reason why it should be regarded as a lie. For a detailed discussion, please refer to (E.N. 60 of Surah Al-Anbiya )and Rasail-o-Masail, vol. II, pp. 35 to 39. (A book by Abul Aala Moududi).'"
3877,37,90,"So they turned away from him, and departed.","b'50. This sentence by itself shows the real state of the affairs. It appears that the people might be going to some fair of theirs. The family of the Prophet Abraham (peace be upon him) might have also asked him to accompany them. He might have excused himself, saying that he was indisposed, and therefore, could not go. Had it been something contrary to fact, the people of the house would have said: You look perfectly normal: you are making a false excuse. But when they accepted his excuse and left him behind, it clearly shows that the Prophet Abraham must at that time be suffering from cough and cold or some other such visible illness on account of which the people of the house agreed to leave him behind.'"
3878,37,91,"Then did he turn to their gods and said, ""will ye not eat (of the offerings before you)?...",b'51. This shows that there were different kinds of food placed before the idols in the temple.'
3879,37,92,"""What is the matter with you that ye speak not (intelligently)?""",b'There is no commentary by Abul Maududi available for this verse.'
3880,37,93,"Then did he turn upon them, striking (them) with the right hand.",b'There is no commentary by Abul Maududi available for this verse.'
3881,37,94,"Then came (the worshippers) with hurried steps, and faced (him).","b'52. Here the story has been told in brief. According to the details given in Surah Al-Anbiya, when they returned and found all their idols broken to pieces in the temple, they started making investigations. Some people said that a young man, called Abraham, had been talking such and such things against idol-worship. At this the multitude demanded that he should be immediately seized and brought before them. Therefore, a group of the people went running to him and brought him before the multitude.'"
3882,37,95,"He said: ""Worship ye that which ye have (yourselves) carved?",b'There is no commentary by Abul Maududi available for this verse.'
3883,37,96,"""But Allah has created you and your handwork!""",b'There is no commentary by Abul Maududi available for this verse.'
3884,37,97,"They said, ""Build him a furnace, and throw him into the blazing fire!""",b'There is no commentary by Abul Maududi available for this verse.'
3885,37,98,"(This failing), they then sought a stratagem against him, but We made them the ones most humiliated!","b'53. The words in( Surah Al-Anbiya, Ayat 69) are to the effect, We commanded: O fire, be cool and become safe for Abraham. And in( Surah Al-Ankbut, Ayat 24), it has been said: Then Allah saved him from the fire. This proves that those people had actually thrown the Prophet Abraham (peace be upon him) into the fire, and then Allah had rescued him from it safe and sound. The words of the verse, \x93So they intended against him a plot, then We made them the lowest\x94 cannot be taken to mean that they had only intended to throw the Prophet Abraham into the fire but could not carry their plan into effect; but when these words are read with the verses cited above, the meaning becomes plain that they had wanted to kill him by casting him into the fire but could not do so, and the Prophet Abraham\x92s miraculous escape proved his superiority and the polytheists were humbled by Allah. The real object of relating this incident is to warn the people of the Quraish to this effect: The way that you have adopted is not the way of the Prophet Abraham (peace be upon him), whose descendants you claim yourselves to be, but his way is the one being presented by the Prophet Muhammad (peace be upon him). Now, if you plot against him in order to defeat him and frustrate his mission, as the people of the Prophet Abraham (peace be upon him) had done against him, you alone will be defeated in the end, because you cannot defeat Muhammad (peace be upon him).'"
